sum_weighted_diff,sum_weight,avg_neg,tweet_count,wsi,window_start,window_end,z_score
12.341197876935473,1217.8889452746105,0.0806800006330013,100,0.0101332702992494,2026-06-16 19:18:00,2026-06-16 19:28:00,0.0
76.1232766370398,3656.6956380303577,0.0567733334998289,300,0.0208175041546643,2026-06-16 19:19:00,2026-06-16 19:29:00,-0.7071067811865474
235.65218900400524,6076.943737676598,0.0437480001896619,500,0.0387780764766636,2026-06-16 19:20:00,2026-06-16 19:30:00,-0.8890189034301116
530.3838432981427,8504.385193342088,0.0342971430080277,700,0.0623659243131848,2026-06-16 19:21:00,2026-06-16 19:31:00,-0.9737118130420271
838.4854275923387,10942.521637564112,0.0281322223527563,900,0.0766263440333476,2026-06-16 19:22:00,2026-06-16 19:32:00,-0.9865827158605897
1131.910470289765,13386.648599003702,0.0262209092080593,1100,0.0845551791337831,2026-06-16 19:23:00,2026-06-16 19:33:00,-0.9012842625589269
1512.756880704826,15816.739460716328,0.0245753847234524,1300,0.0956427767215882,2026-06-16 19:24:00,2026-06-16 19:34:00,-0.852928134984085
1789.9988305757258,18230.843788923343,0.0233066667566696,1500,0.0981851883160388,2026-06-16 19:25:00,2026-06-16 19:35:00,-0.816223873131405
2155.0554163851893,20656.355605458295,0.0218335295030299,1700,0.1043289270163286,2026-06-16 19:26:00,2026-06-16 19:36:00,-0.8057468239933213
2453.4033791551024,23074.614400870127,0.020916315860262,1900,0.1063247834409135,2026-06-16 19:27:00,2026-06-16 19:37:00,-0.7822122261616458
2762.4326149076455,24262.837634797015,0.0181900000404566,2000,0.1138544739278908,2026-06-16 19:28:00,2026-06-16 19:38:00,-0.9642667748711174
2844.6764856226696,24289.24276012077,0.0176940000597387,2000,0.1171167217404238,2026-06-16 19:29:00,2026-06-16 19:39:00,-1.0293484066203744
2773.0897419387784,24292.21071585247,0.019750000026077,2000,0.114155511590764,2026-06-16 19:30:00,2026-06-16 19:40:00,-0.7368633747216092
2639.2845190012736,24295.625550032844,0.021499000005424,2000,0.1086320874334394,2026-06-16 19:31:00,2026-06-16 19:41:00,-0.21082145568616048
2450.9593348903886,24287.884465471976,0.0238720000181347,2000,0.1009128373603188,2026-06-16 19:32:00,2026-06-16 19:42:00,0.7546861249940172
2186.057237897989,24273.249952480044,0.0284290000163018,2000,0.0900603438838084,2026-06-16 19:33:00,2026-06-16 19:43:00,2.000617179152641
1887.8904945804595,24285.189168133755,0.0303880000263452,2000,0.0777383483204524,2026-06-16 19:34:00,2026-06-16 19:44:00,1.8916904707809112
1645.875832710106,24284.2790281261,0.0359355000257492,2000,0.0677753632629508,2026-06-16 19:35:00,2026-06-16 19:45:00,2.0436252774758414
1317.0859752660222,23066.38270651606,0.03951842105898418,1900,0.057099805896047864,2026-06-16 19:36:00,2026-06-16 19:46:00,1.8200990597998103
1018.7380124961087,20648.123911104227,0.042624117666307616,1700,0.049338042375280784,2026-06-16 19:37:00,2026-06-16 19:47:00,1.6306889384727208
697.3675788666302,18242.011731902734,0.0451693333486716,1500,0.038228655321333425,2026-06-16 19:38:00,2026-06-16 19:48:00,1.4831586469133848
551.3416293915019,15776.79991382323,0.04598615384445741,1300,0.03494635365873091,2026-06-16 19:39:00,2026-06-16 19:49:00,1.2824331998311995
463.3994607084278,13353.583858445292,0.04620727274566889,1100,0.034702254137967396,2026-06-16 19:40:00,2026-06-16 19:50:00,1.0931476190730545
302.47302935179476,10922.727568599425,0.0502177778341704,900,0.027692078508058916,2026-06-16 19:41:00,2026-06-16 19:51:00,1.28892794309743
182.69662916848338,8492.33220893827,0.055912857162100926,700,0.021513127922173518,2026-06-16 19:42:00,2026-06-16 19:52:00,1.6115440833878543
154.17368346345668,6062.839760490613,0.053002000011503694,500,0.025429285541760837,2026-06-16 19:43:00,2026-06-16 19:53:00,1.0964418675995755
71.49401636592572,3620.8096831242774,0.0649266665801406,300,0.019745311856390058,2026-06-16 19:44:00,2026-06-16 19:54:00,2.0120673097183768
36.26672836537946,1207.6154949249105,0.05370999980717897,100,0.030031685182736512,2026-06-16 19:45:00,2026-06-16 19:55:00,0.5354145367341258
